,Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Phone_Status,Email_Status
0,EMP1000,Bob,Davis,25.0,DevOps-California,Active,4/2/2021,59767.65,bob.davis@example.com,1651623197,Average,True,DevOps,California,Valid,Needs Verification
1,EMP1001,Bob,Brown,30.0,Finance-Texas,Active,7/10/2020,65304.66,bob.brown@example.com,1898471390,Excellent,True,Finance,Texas,Valid,Needs Verification
2,EMP1002,Alice,Jones,30.0,Admin-Nevada,Pending,12/7/2023,88145.9,alice.jones@example.com,5596363211,Good,True,Admin,Nevada,Valid,Needs Verification
3,EMP1003,Eva,Davis,25.0,Admin-Nevada,Inactive,11/27/2021,69450.99,eva.davis@example.com,3476490784,Good,True,Admin,Nevada,Valid,Needs Verification
4,EMP1004,Frank,Williams,25.0,Cloud Tech-Florida,Active,1/5/2022,109324.61,frank.williams@example.com,1586734256,Poor,False,Cloud Tech,Florida,Valid,Needs Verification
5,EMP1005,Alice,Garcia,40.0,Sales-Texas,Inactive,6/10/2020,88642.84,alice.garcia@example.com,5409003485,Good,False,Sales,Texas,Valid,Needs Verification
6,EMP1006,Frank,Jones,30.0,Admin-Nevada,Active,4/3/2020,96288.43,frank.jones@example.com,4518376063,Good,False,Admin,Nevada,Valid,Needs Verification
7,EMP1007,Bob,Jones,30.0,Cloud Tech-Florida,Inactive,7/17/2022,94497.91,bob.jones@example.com,4134327559,Average,True,Cloud Tech,Florida,Valid,Needs Verification
8,EMP1008,Frank,Davis,35.0,Admin-Nevada,Inactive,12/8/2023,115565.82,frank.davis@example.com,4177656123,Excellent,True,Admin,Nevada,Valid,Needs Verification
9,EMP1009,Charlie,Johnson,30.0,DevOps-New York,Active,8/4/2022,76561.88,charlie.johnson@example.com,8156985699,Excellent,True,DevOps,New York,Valid,Needs Verification
10,EMP1010,David,Williams,35.0,Cloud Tech-New York,Active,7/6/2024,72081.71,david.williams@example.com,2720634590,Average,False,Cloud Tech,New York,Valid,Needs Verification
11,EMP1011,David,Davis,30.0,DevOps-California,Active,9/4/2023,84946.19,david.davis@example.com,1238296576,Poor,True,DevOps,California,Valid,Needs Verification
12,EMP1012,Heidi,Williams,30.0,HR-New York,Active,3/5/2024,89295.77,heidi.williams@example.com,2429543164,Excellent,False,HR,New York,Valid,Needs Verification
13,EMP1013,Grace,Williams,30.0,Finance-California,Active,10/10/2020,85666.84,grace.williams@example.com,2669300892,Good,False,Finance,California,Valid,Needs Verification
14,EMP1014,Alice,Garcia,25.0,Admin-Nevada,Active,6/10/2024,97633.68,alice.garcia@example.com,1734206968,Excellent,True,Admin,Nevada,Valid,Needs Verification
15,EMP1015,Grace,Jones,40.0,Sales-Florida,Pending,5/29/2021,117975.49,grace.jones@example.com,4215291085,Good,True,Sales,Florida,Valid,Needs Verification
16,EMP1016,Alice,Brown,25.0,DevOps-Illinois,Inactive,4/23/2024,94867.33,alice.brown@example.com,7713334475,Poor,False,DevOps,Illinois,Valid,Needs Verification
17,EMP1017,Grace,Garcia,30.0,Finance-Texas,Pending,11/28/2024,100377.65,grace.garcia@example.com,2639343625,Average,True,Finance,Texas,Valid,Needs Verification
